SampleId	gtdb_r207_NR	gtdb_r207_amoA	gtdb_r207_amoB	gtdb_r207_amoC	gtdb_r207_anfD	gtdb_r207_anfG	gtdb_r207_anfH	gtdb_r207_anfK	gtdb_r207_asnB	gtdb_r207_gdhA	gtdb_r207_glnA	gtdb_r207_glsA	gtdb_r207_gltB	gtdb_r207_gltD	gtdb_r207_gltS	gtdb_r207_gudB	gtdb_r207_hao	gtdb_r207_hcp	gtdb_r207_hzo	gtdb_r207_hzsA	gtdb_r207_hzsB	gtdb_r207_hzsC	gtdb_r207_napA	gtdb_r207_napB	gtdb_r207_narB	gtdb_r207_narC	gtdb_r207_narG_nxrA	gtdb_r207_narH_nxrB	gtdb_r207_narI	gtdb_r207_narJ	gtdb_r207_nasA	gtdb_r207_nasB	gtdb_r207_nifD	gtdb_r207_nifH	gtdb_r207_nifK	gtdb_r207_nirA	gtdb_r207_nirB	gtdb_r207_nirD	gtdb_r207_nirK	gtdb_r207_nirS	gtdb_r207_nod	gtdb_r207_norB	gtdb_r207_norC	gtdb_r207_nosZ	gtdb_r207_nrfA	gtdb_r207_nrfB	gtdb_r207_nrfC	gtdb_r207_nrfD	gtdb_r207_nrfH	gtdb_r207_vnfD	gtdb_r207_vnfG	gtdb_r207_vnfH	gtdb_r207_vnfK	gtdb_r207_ureA	gtdb_r207_ureB	gtdb_r207_ureC	gtdb_r207_ureD	gtdb_r207_ureE	gtdb_r207_ureF	gtdb_r207_ureG	gtdb_r207_ureJ	read_pair_count
0_SD7449_H041_pH7	1740	30	53	63	19	0	1045	10	10583	2821	8198	1776	13852	7816	11933	4766	94	27	61	293	241	1560	4735	92	8191	2106	1711	1396	244	126	10433	5717	24	1127	17	2269	3781	177	995	148	1319	644	847	1047	1144	249	3329	115	653	15	2	1042	11	637	525	3276	673	364	616	1062	333	29733981
1_SD7450_H042_pH7	5080	156	188	274	55	1	2678	42	32319	8495	24330	3876	40482	21383	34729	15508	342	65	157	568	505	4063	11810	212	21341	6601	6841	5216	895	443	28209	14743	56	2909	57	6207	9134	481	3144	593	4260	1644	2024	3821	2431	565	10685	314	1626	36	0	2606	45	1500	1475	8714	1718	940	1754	2857	835	88559703
2_SD7451_H043_pH7	2033	39	54	65	81	0	1139	57	13240	3587	9330	1862	16267	9369	14046	6057	113	57	99	313	262	1769	5498	121	9804	2731	2380	1939	327	150	12666	6074	117	1206	97	2549	4008	199	1204	306	1538	803	1050	1587	1583	273	4767	194	932	59	2	1111	59	608	626	3796	738	414	699	1118	393	34555550
3_SD7452_H044_pH7	734	18	51	52	7	0	433	7	4705	1300	3337	666	5599	3370	4921	2082	81	15	38	147	97	739	2116	58	3539	984	744	648	111	56	4634	2397	6	462	14	943	1550	77	503	77	666	269	408	456	456	130	1454	59	293	6	1	415	7	215	219	1404	264	164	270	475	169	11859306
4_SD7453_H045_pH7	670	13	34	26	16	0	372	8	4268	1174	2777	569	4510	3024	3925	1965	38	10	24	122	90	626	1811	27	3149	801	613	559	68	21	4075	2032	17	392	7	835	1347	57	380	71	478	248	393	396	468	100	1368	59	328	14	2	361	8	187	177	1168	262	117	206	351	131	9936466
5_SD7454_H046_pH7	2350	81	135	128	21	0	1203	21	14026	3751	11100	2400	19097	10155	16339	6485	217	25	77	299	252	1942	6290	144	10840	2924	2623	1966	331	180	13874	7676	39	1279	35	2892	5072	254	1445	251	1723	814	996	1362	1626	281	4506	129	929	18	1	1182	21	781	780	4646	962	482	945	1497	486	40965374
6_SD7455_H048_pH7	1093	24	31	56	10	0	669	9	6936	1929	5572	1189	9809	5566	8571	3097	76	11	49	203	118	1110	3436	91	5767	1329	1265	913	164	90	7493	4297	16	710	15	1587	2838	125	671	115	904	421	595	707	797	180	2264	64	482	10	1	657	9	426	413	2489	552	275	471	778	276	20444556
7_SD7456_H049_pH7	1147	17	29	35	8	0	621	5	7314	2036	5323	1068	9032	5340	7829	3307	57	20	41	191	158	1013	3147	83	5528	1439	1160	961	115	53	7162	3541	10	690	10	1447	2271	95	633	140	829	396	644	705	902	144	2535	73	502	6	2	606	5	386	342	2252	396	206	394	752	235	20084582
8_SD7458_H051_pH7	1939	49	70	117	14	0	1042	8	12255	3308	8698	1618	15355	8174	13085	5711	113	18	61	295	196	1833	4764	96	8564	2575	2028	1724	264	132	11176	5757	18	1130	22	2468	3703	192	1138	174	1600	639	982	1234	1106	255	4032	129	681	12	2	1024	11	612	585	3752	749	368	699	1181	378	35394046
9_SD7460_H053_pH7	1700	29	58	58	29	1	1037	13	11790	3112	8410	1683	14131	8342	12241	5379	116	21	67	283	244	1441	5018	135	8529	2049	1951	1585	255	148	11210	6524	35	1106	22	2304	4458	240	1049	224	1347	705	755	1143	1300	224	3699	134	805	24	5	1003	13	654	689	3590	826	382	743	1090	392	31375344
10_SD7461_H054_pH7	1499	20	28	33	15	0	867	27	9810	2694	7405	1269	11526	6922	10118	4546	63	13	41	224	194	1278	4171	98	7249	1742	1879	1455	235	145	9360	4971	26	916	37	1960	3213	200	925	174	1097	480	713	966	1006	203	3276	106	717	13	6	829	29	474	456	2813	605	321	602	949	302	24741159
11_SD7462_H055_pH7	3263	66	91	115	12	0	1777	13	21951	5835	15503	2686	24360	14223	21313	9925	129	31	75	437	356	2657	8265	177	14542	4072	3767	3046	545	307	18886	9510	16	1914	26	3920	6073	300	1924	389	2609	1102	1402	2284	2035	387	6996	223	1277	10	4	1729	13	1090	1031	5654	1243	634	1171	1783	617	51525961
12_SD7463_H056_pH7	663	14	14	23	8	4	435	9	4213	1182	2980	488	4574	3118	4102	1819	38	8	32	132	83	600	1932	35	3279	832	847	635	97	75	4290	2092	11	456	11	827	1388	75	353	108	509	246	323	406	405	107	1344	66	294	6	3	415	13	243	197	1192	249	140	222	362	123	9918540
13_SD7464_H057_pH7	4485	78	94	168	53	0	2147	30	26435	6860	19938	4120	34493	18302	29336	12562	251	51	106	521	422	3317	10948	275	19688	5167	4309	3516	486	241	25834	13388	74	2348	45	5386	8735	438	2352	499	2978	1486	1871	2887	3337	489	8874	278	1891	39	5	2113	34	1419	1440	8364	1907	859	1639	2680	867	76644150
14_SD7465_H058_pH7	6054	102	139	208	43	2	2827	43	35841	9185	27220	5296	46678	24710	40064	17458	235	82	157	729	596	4178	14532	405	25679	7125	5381	4667	733	374	33671	17748	65	3077	68	6959	11798	665	3225	663	3906	1728	2349	3707	4672	655	11897	295	2421	28	1	2756	44	1741	1837	10197	2258	1250	2120	3440	997	99568062
16_SD7467_H061_pH6.5	1074	39	64	66	9	0	573	4	6652	1848	4707	1033	7925	4837	6986	2998	89	10	54	173	169	1095	2964	54	5084	1267	1073	943	132	80	6556	3332	9	611	9	1387	2237	108	614	117	811	371	593	721	657	159	2292	69	448	8	1	560	4	349	364	2010	420	239	404	689	238	16782882
17_SD7468_H062_pH6.5	1232	39	73	75	16	0	668	11	7533	2068	5726	1029	9218	5591	8049	3402	100	11	52	188	132	1192	3374	80	5809	1484	1460	1079	178	84	7643	4237	18	693	25	1601	2761	132	851	133	1002	413	649	841	704	163	2523	97	506	14	0	642	13	432	434	2492	526	302	486	810	253	20212238
18_SD7469_H063_pH6.5	4211	177	222	322	49	1	2002	41	24008	6543	18551	3780	32559	17304	27827	11290	411	39	152	521	423	3495	9747	280	17453	5123	4690	3718	551	288	22999	12013	71	2153	70	4972	7727	372	2333	344	3503	1430	1810	2464	2075	487	8017	274	1358	34	3	1949	43	1433	1365	7678	1682	860	1516	2613	824	69181373
19_SD7470_H065_pH6.5	1084	49	49	59	17	0	646	6	7279	1870	5282	987	8541	5130	7495	3204	90	9	41	207	124	1104	3133	68	5398	1441	1287	969	173	75	6851	3636	17	695	16	1471	2357	128	789	114	937	420	580	729	562	156	2372	85	442	9	0	621	9	376	371	2308	480	234	470	759	232	19250985
20_SD7471_H067_pH6.5	2835	73	85	155	25	0	1408	18	15663	4374	12122	1685	20324	11461	17562	7387	211	48	105	352	254	2436	5816	77	10982	3865	3575	2628	489	256	14525	7253	40	1514	27	3352	4306	184	1518	233	2543	912	1314	1692	822	350	5569	202	637	20	7	1380	19	814	745	4501	928	471	845	1538	425	42811259
21_SD7472_H068_pH6.5	1223	89	90	143	14	0	749	14	8497	2242	6244	1276	10422	5717	8805	4023	150	20	54	230	147	1147	3518	47	6014	1658	1390	1198	178	106	7896	4030	20	807	22	1588	2553	98	831	135	1095	494	667	936	906	200	2781	95	595	11	2	737	14	432	417	2660	518	272	424	839	239	26778228
22_SD7473_H069_pH6.5	4408	200	262	329	45	0	2166	29	24775	6874	20059	3111	33105	17841	28163	12264	421	63	164	421	408	3569	9226	212	17206	5830	5244	4161	707	365	22531	11641	65	2280	41	5292	7122	356	2578	389	3853	1448	1921	2741	1500	482	8459	320	1133	29	0	2080	29	1385	1275	7649	1563	786	1464	2401	816	74563814
23_SD7474_H070_pH6.5	5628	244	321	489	44	0	2615	37	31801	8213	26315	4530	46991	22367	38714	15572	534	101	202	610	461	4239	11897	286	21509	7160	6965	5185	950	472	28721	16254	61	2839	56	6596	10265	404	3449	564	5099	1893	2181	3544	2210	524	10135	333	1512	29	0	2559	37	1887	1793	10894	2122	1163	2025	3562	1003	117356357
