gsveasy_sample,Hoosfield.ID,SampleID,pH,pH.group,pH.group.label,Total.reads,Arc.reads.sampled,Bac.reads.sampled,Prok.reads.sampled,Microeuk.reads.sampled,Plant.reads.sampled,Euk.reads.sampled,Arc.reads,Bac.reads,Prok.reads,Microeuk.reads,Plant.reads,Euk.reads,MAG.reads,Known.reads.prop,Unknown.reads.prop,MAG.reads.pc,Bact_CN_gsoil,Fun_CN_gsoil,Fun_CN_gsoil.a.zero,Prop.bac.reads
SD7449_H041_pH7,H041,SD7449,7.96,7.4,7,59467962,14296,982732,997028,614,2516,3130,425076.9924,29220534.62,29645611.61,18256.66433,74810.6962,93067.36053,10146558,50.0079,49.9921,0.187496988,1094031765,-1861772.557,0,0.491366
SD7450_H042_pH7,H042,SD7450,7.58,7.4,7,177119406,9674,978393,988067,1604,2708,4312,856726.5668,86646193.5,87502920.06,142049.7636,239819.6757,381869.4393,37138467,49.61895,50.38105,0.230418016,1009628414,5409058.411,5409058.411,0.4891965
SD7451_H043_pH7,H043,SD7451,7.11,7.4,7,69111100,14531,942174,956705,195,2249,2444,502126.6971,32557340.77,33059467.46,6738.33225,77715.43195,84453.7642,13354898,47.95745,52.04255,0.212349566,905234794.7,12665253.59,12665253.59,0.471087
SD7452_H044_pH7,H044,SD7452,7.37,7.4,7,23718612,17331,1003294,1020625,748,2753,3501,205533.6323,11898370.55,12103904.19,8870.760888,32648.66942,41519.43031,4261257,51.2063,48.7937,0.197427236,962984456.2,8888540.961,8888540.961,0.501647
SD7453_H045_pH7,H045,SD7453,7.48,7.4,7,19872932,20755,914717,935472,121,1949,2070,206231.3518,9089054.37,9295285.722,1202.312386,19366.17223,20568.48462,3793744,46.8771,53.1229,0.209780291,987417005.3,7113773.191,7113773.191,0.4573585
SD7454_H046_pH7,H046,SD7454,7.9,7.4,7,81930748,17694,1000569,1018263,297,2760,3057,724841.3276,40988683.3,41713524.63,12166.71608,113064.4322,125231.1483,12820228,51.066,48.934,0.171952081,1080704920,-630281.898,0,0.5002845
SD7455_H048_pH7,H048,SD7455,7.28,7.4,7,40889112,13033,1009543,1022576,358,3274,3632,266453.8983,20639658.4,20906112.3,7319.151048,66935.47634,74254.62739,7098367,51.3104,48.6896,0.190769692,942994188.8,10262375.51,10262375.51,0.5047715
SD7456_H049_pH7,H049,SD7456,7.51,7.4,7,40169164,11698,940582,952280,51,2153,2204,234949.4402,18891196.31,19126145.75,1024.313682,43242.10505,44266.41873,6292308,47.7242,52.2758,0.172137617,994080427.8,6611487.71,6611487.71,0.470291
SD7458_H051_pH7,H051,SD7458,7.31,7.4,7,70788092,16852,947379,964231,403,2482,2885,596460.4632,33531575.91,34128036.37,14263.80054,87848.02217,102111.8227,10735334,48.3558,51.6442,0.166653317,949657611.2,9812255.477,9812255.477,0.4736895
SD7460_H053_pH7,H053,SD7460,7.51,7.4,7,62750688,11646,932408,944054,150,2767,2917,365397.2562,29254621.75,29620019,4706.3016,86815.57685,91521.87845,12371760,47.34855,52.65145,0.21665644,994080427.8,6611487.71,6611487.71,0.466204
SD7461_H054_pH7,H054,SD7461,6.98,7.4,7,49482318,13256,953485,966741,1609,2761,4370,327968.8037,23590323.99,23918292.79,39808.52483,68310.34,108118.8648,10421143,48.55555,51.44445,0.231432276,876359963.9,14333210.89,14333210.89,0.4767425
SD7462_H055_pH7,H055,SD7462,7.62,7.4,7,103051922,10876,958428,969304,213,2426,2639,560396.3518,49383923.75,49944320.1,10975.02969,125001.9814,135977.0111,24799103,48.59715,51.40285,0.264446902,1018512977,4702828.624,4702828.624,0.479214
SD7463_H056_pH7,H056,SD7463,6.97,7.4,7,19837080,9950,991081,1001031,94,2610,2704,98689.473,9830076.542,9928766.015,932.34276,25887.3894,26819.73216,4149184,50.18675,49.81325,0.229849497,874138823.1,14455429.33,14455429.33,0.4955405
SD7464_H057_pH7,H057,SD7464,7.88,7.4,7,153288300,14480,959376,973856,147,2419,2566,1109807.292,73530558.05,74640365.34,11266.69005,185402.1989,196668.8889,26720737,48.8211,51.1789,0.191557002,1076262638,-226740.4047,0,0.479688
SD7465_H058_pH7,H058,SD7465,7.27,7.4,7,199136124,15128,944990,960118,299,2470,2769,1506265.642,94090822.91,95597088.55,29770.85054,245933.1131,275703.9637,39824120,48.14435,51.85565,0.219763086,940773047.9,10410676.67,10410676.67,0.472495
SD7467_H061_pH6.5,H061,SD7467,6.97,6.9,6.5,33565764,18714,1001528,1020242,91,2527,2618,314074.8537,16808526.24,17122601.1,1527.242262,42410.34281,43937.58508,6682439,51.143,48.857,0.216396703,874138823.1,14455429.33,14455429.33,0.500764
SD7468_H062_pH6.5,H062,SD7468,6.7,6.9,6.5,40424476,20014,1124946,1144960,73,3808,3881,404527.7313,22737676.29,23142204.02,1475.493374,76968.2023,78443.69568,8158221,57.44205,42.55795,0.219362931,814168020.7,17426684.85,17426684.85,0.562473
SD7469_H063_pH6.5,H063,SD7469,6.66,6.9,6.5,138362746,13398,1050005,1063403,159,3019,3178,926892.0355,72640787.56,73567679.59,10999.83831,208858.5651,219858.4034,24765497,53.32905,46.67095,0.194553948,805283457.4,17812966.56,17812966.56,0.5250025
SD7470_H065_pH6.5,H065,SD7470,6.83,6.9,6.5,38501970,20124,1055245,1075369,182,2779,2961,387406.8221,20314505.67,20701912.49,3503.67927,53498.48732,57002.16658,6856451,53.9165,46.0835,0.193565787,843042851.5,16075197.94,16075197.94,0.5276225
SD7471_H067_pH6.5,H067,SD7471,6.5,6.9,6.5,85622518,8215,1084687,1092902,163,2311,2474,351694.4927,46436816.09,46788510.58,6978.235217,98936.81955,105915.0548,16654888,54.7688,45.2312,0.211429651,769745204.1,19218985.53,19218985.53,0.5423435
SD7472_H068_pH6.5,H068,SD7472,6.75,6.9,6.5,53556456,17260,942025,959285,411,2177,2588,462192.2153,25225760.23,25687952.45,11005.85171,58296.20236,69302.05406,6501696,48.09365,51.90635,0.13195535,825273724.8,16924270.67,16924270.67,0.4710125
SD7473_H069_pH6.5,H069,SD7473,6.45,6.9,6.5,149127628,11494,1072766,1084260,95,2529,2624,857036.4781,79989524.49,80846560.97,7083.56233,188571.8856,195655.4479,25908640,54.3442,45.6558,0.188842038,758639500,19612721.69,19612721.69,0.536383
SD7474_H070_pH6.5,H070,SD7474,6.45,6.9,6.5,234712714,11857,1030957,1042814,680,2743,3423,1391494.325,120989357.7,122380852.1,79802.32276,321908.4873,401710.81,30990680,52.31185,47.68815,0.143518096,758639500,19612721.69,19612721.69,0.5154785
SD7475_H071_pH6.5,H071,SD7475,7.07,6.9,6.5,100129262,21145,1029192,1050337,280,2809,3089,1058616.622,51526117.71,52584734.33,14018.09668,140631.5485,154649.6452,17472536,52.6713,47.3287,0.189673694,896350231.4,13194120.86,13194120.86,0.514596
SD7476_H072_pH6.5,H072,SD7476,7.07,6.9,6.5,86066378,22447,967399,989846,246,2664,2910,965965.9935,41630264.01,42596230,10586.16449,114640.4155,125226.58,10634326,49.6378,50.3622,0.134303897,896350231.4,13194120.86,13194120.86,0.4836995
SD7477_H073_pH6.5,H073,SD7477,7.13,6.9,6.5,210844780,19568,938989,958557,69,2032,2101,2062905.328,98990464.56,101053369.9,7274.14491,214218.2965,221492.4414,39031932,48.0329,51.9671,0.201219177,909677076.3,12395603.42,12395603.42,0.4694945
