"";"x18";"x29";"x33";"x34";"x45";"x48";"x71";"x90";"x96";"x106";"x109";"x141";"x146";"x169";"x170";"x180";"x192";"x228";"x229";"x254";"x280";"x281";"x288";"x290";"x292";"x306";"x360";"x380";"x386";"x453";"x480";"x482";"x508";"x539";"x559";"x653";"x746";"x765";"x776";"x779";"x783";"x784";"x785";"x789";"x896";"x923";"x966";"x1192";"x1518";"x1617";"x1634";"x1843";"x1854";"x2218";"x2330";"x2406";"x2522";"x2528";"x2569"
"H172";30;71;34;77;212;27;0;31;48;51;25;36;0;44;15;0;55;30;0;0;19;308;13;14;15;12;0;21;0;260;162;151;97;291;165;83;0;238;0;23;122;12;34;532;145;0;21;96;931;79;587;101;107;128;83;204;143;483;136
"H173";16;58;31;63;286;24;0;31;28;22;22;23;13;34;8;4;21;21;0;3;34;368;4;6;11;6;5;7;0;260;107;95;72;290;114;101;0;249;5;21;107;2;20;576;217;0;32;27;987;30;510;115;185;147;79;162;149;476;115
"H176";0;55;0;62;267;0;0;10;32;36;0;0;0;0;0;0;0;21;0;5;19;477;0;0;0;0;0;0;0;266;134;123;70;365;161;115;0;231;0;0;132;0;20;604;251;0;16;76;1099;29;623;179;197;134;150;196;163;475;154
"H166";0;74;8;55;288;15;0;14;11;20;0;0;0;0;0;0;0;65;0;27;34;586;0;0;0;0;0;0;0;175;60;133;51;229;139;107;0;239;11;24;112;0;33;829;195;10;35;60;1340;41;460;136;133;108;102;112;101;365;156
"H167";0;94;9;94;369;23;0;18;31;84;0;0;0;0;0;0;0;28;0;18;30;205;0;0;0;0;0;0;0;347;252;188;75;396;148;82;0;412;0;27;134;0;16;672;134;55;44;83;459;81;495;76;188;164;106;174;117;435;61
"H170";85;146;159;117;206;83;0;50;127;80;60;137;71;296;52;51;199;65;0;0;20;201;14;52;73;51;35;45;63;148;83;85;51;191;105;59;0;131;0;0;96;0;0;418;83;0;0;43;854;0;152;61;47;22;71;79;30;67;65
"H179";0;85;16;66;234;12;0;14;23;29;0;0;0;8;0;0;11;63;0;12;20;462;0;0;0;0;0;0;0;186;88;164;41;242;143;129;0;288;5;28;189;3;51;1071;165;0;26;39;1365;35;290;82;129;103;80;161;85;268;173
"H161";23;98;39;104;254;36;0;42;43;48;15;12;8;26;5;0;25;50;0;7;27;456;7;12;6;0;6;0;0;164;102;175;55;240;120;133;0;234;11;27;140;0;24;873;152;0;29;86;1225;37;394;62;116;86;68;134;68;327;117
"H169";8;76;29;63;231;23;0;13;22;39;13;10;6;24;3;0;32;57;0;16;37;597;0;8;0;0;0;1;0;119;90;143;61;213;90;95;0;298;9;22;127;11;47;936;216;0;26;29;1224;43;408;117;127;85;48;136;92;283;47
"H175";0;137;0;91;354;0;0;0;0;69;0;0;0;0;0;0;0;0;0;0;45;396;0;0;0;0;0;0;0;381;312;246;150;445;165;90;0;286;0;0;220;0;0;838;154;56;0;205;1159;59;468;99;120;52;102;174;113;386;205
"H180";0;69;23;62;273;14;0;10;28;47;0;16;4;15;0;0;19;92;0;18;11;481;0;4;0;0;0;0;0;134;122;145;39;250;118;103;0;322;7;30;127;7;50;1121;211;0;52;38;1091;43;419;135;147;106;78;145;75;323;80
"H165";0;29;5;50;224;5;0;9;22;25;0;0;0;0;0;0;0;3;0;0;9;399;0;0;0;0;0;0;0;241;96;99;61;311;191;68;0;233;8;22;102;0;32;602;234;8;32;54;1292;38;464;126;189;102;88;209;133;388;210
"H174";11;104;29;79;201;13;0;13;26;35;0;5;0;12;0;0;14;114;0;20;39;478;0;0;9;0;0;0;0;149;83;166;61;225;81;108;0;314;10;15;133;3;47;1129;122;11;33;44;1090;80;368;72;150;89;59;200;105;330;125
"H171";26;87;88;121;226;38;0;26;54;62;14;45;9;52;11;12;35;49;0;37;23;342;10;29;16;15;10;16;15;135;168;154;63;264;130;93;0;291;0;13;121;0;45;808;120;56;49;65;1043;72;387;58;91;85;59;187;104;246;108
"H162";0;97;16;88;267;23;0;6;21;36;8;4;0;4;0;0;15;73;0;16;22;441;0;0;0;0;0;0;0;165;119;159;46;242;162;102;0;251;9;26;139;9;52;937;158;0;28;45;1236;38;480;74;107;75;83;157;88;345;116
