"";"x29";"x33";"x34";"x45";"x48";"x71";"x96";"x106";"x109";"x141";"x146";"x169";"x170";"x180";"x192";"x228";"x229";"x254";"x280";"x281";"x290";"x292";"x306";"x360";"x380";"x386";"x453";"x480";"x482";"x508";"x539";"x559";"x653";"x746";"x765";"x776";"x779";"x783";"x784";"x785";"x789";"x896";"x966";"x1192";"x1518";"x1617";"x1634";"x1843";"x1854";"x1984";"x2218";"x2330";"x2406";"x2522";"x2528";"x2569"
"H172";73;46;91;251;35;0;39;48;22;36;0;40;9;0;45;36;0;0;19;303;18;17;14;0;17;0;252;173;142;67;307;144;72;0;224;0;29;121;14;30;550;148;23;104;897;64;660;115;115;53;134;86;182;151;450;134
"H173";58;36;64;266;31;0;38;21;17;23;9;35;11;9;24;18;0;9;40;334;6;6;7;4;7;0;302;123;83;51;285;128;98;0;257;11;22;120;4;24;591;240;29;22;978;32;532;123;198;94;131;63;147;134;452;114
"H176";51;0;64;276;0;0;34;37;0;0;0;0;0;0;0;10;0;9;26;467;0;0;0;0;0;0;244;127;97;68;360;145;98;0;223;0;0;124;0;19;616;251;14;68;1183;23;626;156;182;96;145;155;208;153;469;148
"H166";52;9;56;262;10;0;15;17;0;0;0;0;0;0;0;68;0;21;30;584;0;0;0;0;0;0;159;81;145;61;227;143;116;0;244;6;27;122;0;34;836;217;28;64;1374;28;468;111;131;63;105;81;103;99;398;163
"H167";112;12;96;373;16;0;20;69;0;0;0;0;0;0;0;37;0;24;23;196;0;0;0;0;0;0;346;231;167;83;400;127;79;0;397;0;23;153;0;25;678;136;39;63;484;87;512;93;225;46;183;118;170;118;449;44
"H170";127;146;128;202;103;0;99;78;53;140;70;283;50;43;192;57;0;0;23;191;52;77;63;40;46;69;147;86;81;54;182;89;41;0;124;0;0;123;0;0;432;96;0;47;837;0;171;72;49;82;32;76;82;38;71;56
"H179";82;11;63;176;8;0;23;24;0;0;0;5;0;0;5;54;0;10;20;478;0;0;0;0;0;0;181;119;160;50;223;114;150;0;261;4;37;183;2;41;1053;194;35;41;1315;29;288;107;123;153;80;82;156;97;254;155
"H161";87;36;100;259;47;0;32;41;15;11;4;24;4;0;34;56;0;8;16;415;13;7;0;4;0;0;188;105;154;46;245;141;113;0;232;9;24;139;0;19;893;155;14;77;1240;37;399;89;106;87;94;76;135;80;289;149
"H169";85;35;72;268;21;0;24;43;8;11;6;30;7;0;24;47;0;15;39;593;6;0;0;0;2;0;115;91;143;43;216;91;103;0;295;8;36;86;9;38;1021;231;18;22;1110;43;430;111;125;69;91;45;136;90;320;52
"H175";137;0;91;354;0;0;0;69;0;0;0;0;0;0;0;0;0;0;45;396;0;0;0;0;0;0;381;312;246;150;445;165;90;0;286;0;0;220;0;0;838;154;0;205;1159;59;468;99;120;131;52;102;174;113;386;205
