"";"anfH";"asnB";"gdhA";"glnA";"glsA";"gltB";"gltD";"gltS";"gudB";"hzsA";"hzsB";"hzsC";"napA";"narB";"narC";"narG";"narH";"narI";"narJ";"nasA";"nasB";"nifH";"nirA";"nirB";"nirD";"nirK";"nod";"norB";"norC";"nosZ";"NR";"nrfA";"nrfB";"nrfC";"nrfD";"nrfH";"ureA";"ureB";"ureC";"ureD";"ureE";"ureF";"ureG";"ureJ";"vnfH"
"GSV_rarefied_gsvtables100";48375;112733;24061;61224;9690;30091;167739;29785;29328;6611;7687;50601;33382;67695;35217;18116;23768;3829;3012;75736;48231;51293;20604;23608;5295;14749;7953;7161;35625;5657;80319;6869;5914;59425;3188;14139;10503;10771;26993;8792;5079;8246;14627;6399;47515
"GSV_rarefied_gsvtables50";25;115;11;25;67;4;88;3;24;22;11;127;70;36;20;13;16;11;10;36;81;28;32;17;33;12;5;8;36;33;25;55;81;119;11;59;18;23;14;104;17;8;75;91;25
"GSV_rarefied_gsvtables51";32;189;14;30;83;7;126;5;32;29;13;171;92;50;26;17;19;14;10;51;106;36;42;20;36;19;5;8;55;36;33;66;102;161;15;82;23;25;21;137;20;15;96;116;31
"GSV_rarefied_gsvtables52";55;239;14;47;97;7;199;5;44;39;18;256;131;60;39;20;22;17;15;75;168;56;56;26;41;21;6;10;75;48;48;77;140;204;21;119;32;28;29;189;26;17;149;158;47
"GSV_rarefied_gsvtables53";55;239;14;47;97;7;199;5;44;39;18;256;131;60;39;20;22;17;15;75;168;56;56;26;41;21;6;10;75;48;48;77;140;204;21;119;32;28;29;189;26;17;149;158;47
"GSV_rarefied_gsvtables54";68;372;16;57;110;13;288;11;58;62;24;376;168;84;50;29;33;20;18;114;218;68;75;27;46;26;8;11;111;61;67;98;180;255;29;161;43;33;38;246;32;21;177;211;59
"GSV_rarefied_gsvtables55";89;540;27;73;137;14;436;12;78;85;33;562;237;123;74;40;36;29;25;140;301;103;92;45;54;37;9;15;154;72;100;119;232;310;35;204;48;42;54;329;45;31;235;264;85
"GSV_rarefied_gsvtables56";89;540;27;73;137;14;436;12;78;85;33;562;237;123;74;40;36;29;25;140;301;103;92;45;54;37;9;15;154;72;100;119;232;310;35;204;48;42;54;329;45;31;235;264;85
"GSV_rarefied_gsvtables57";130;803;36;99;165;20;704;18;96;116;41;788;293;185;80;51;43;31;31;215;415;140;118;69;61;53;10;16;229;90;149;141;282;394;55;251;53;48;83;414;49;45;304;314;110
"GSV_rarefied_gsvtables58";130;803;36;99;165;20;704;18;96;116;41;788;293;185;80;51;43;31;31;215;415;140;118;69;61;53;10;16;229;90;149;141;282;394;55;251;53;48;83;414;49;45;304;314;110
"GSV_rarefied_gsvtables59";175;1150;47;135;186;23;1029;19;127;170;58;1150;402;247;113;73;52;42;42;267;573;197;155;91;67;70;11;18;322;127;198;177;355;483;58;313;66;57;97;531;70;62;396;401;164
"GSV_rarefied_gsvtables60";175;1150;47;135;186;23;1029;19;127;170;58;1150;402;247;113;73;52;42;42;267;573;197;155;91;67;70;11;18;322;127;198;177;355;483;58;313;66;57;97;531;70;62;396;401;164
"GSV_rarefied_gsvtables61";260;1709;58;186;219;27;1559;21;160;235;75;1574;513;325;141;90;69;51;55;396;764;296;203;127;77;100;14;23;447;150;287;205;428;589;70;390;82;71;146;664;80;78;518;514;231
"GSV_rarefied_gsvtables62";346;2443;71;245;255;37;2314;32;203;320;112;2150;673;444;181;133;86;55;73;529;1062;401;246;172;88;135;19;30;677;177;388;235;503;722;83;469;107;93;224;801;95;98;644;640;328
"GSV_rarefied_gsvtables63";346;2443;71;245;255;37;2314;32;203;320;112;2150;673;444;181;133;86;55;73;529;1062;401;246;172;88;135;19;30;677;177;388;235;503;722;83;469;107;93;224;801;95;98;644;640;328
"GSV_rarefied_gsvtables64";493;3520;92;340;306;48;3423;41;241;418;135;2926;848;613;229;179;101;69;93;690;1416;558;319;252;114;203;23;42;941;218;565;285;589;868;103;579;126;124;297;994;124;141;814;764;473
"GSV_rarefied_gsvtables65";493;3520;92;340;306;48;3423;41;241;418;135;2926;848;613;229;179;101;69;93;690;1416;558;319;252;114;203;23;42;941;218;565;285;589;868;103;579;126;124;297;994;124;141;814;764;473
"GSV_rarefied_gsvtables66";710;4935;126;442;350;70;4980;59;297;579;184;3873;1073;863;286;242;151;84;118;944;1850;792;402;372;135;245;28;51;1312;265;786;334;690;1065;118;708;169;153;416;1193;149;182;1007;926;683
"GSV_rarefied_gsvtables67";983;6895;181;537;405;92;6994;81;356;772;254;4941;1382;1139;351;323;185;99;136;1260;2453;1141;525;503;165;327;38;71;1760;306;1105;397;777;1259;154;820;207;192;578;1376;189;235;1233;1102;994
"GSV_rarefied_gsvtables68";983;6895;181;537;405;92;6994;81;356;772;254;4941;1382;1139;351;323;185;99;136;1260;2453;1141;525;503;165;327;38;71;1760;306;1105;397;777;1259;154;820;207;192;578;1376;189;235;1233;1102;994
"GSV_rarefied_gsvtables69";1380;9289;244;678;501;127;9615;113;448;1010;322;6263;1685;1522;436;425;223;122;166;1694;3157;1595;655;694;193;443;52;94;2411;382;1530;453;876;1527;179;987;280;257;773;1630;233;305;1470;1315;1371
"GSV_rarefied_gsvtables70";1380;9289;244;678;501;127;9615;113;448;1010;322;6263;1685;1522;436;425;223;122;166;1694;3157;1595;655;694;193;443;52;94;2411;382;1530;453;876;1527;179;987;280;257;773;1630;233;305;1470;1315;1371
"GSV_rarefied_gsvtables71";1897;12298;332;881;599;171;12978;151;556;1237;433;7740;2086;2036;560;539;304;151;191;2258;4017;2181;821;1004;243;569;67;124;3197;462;2163;530;999;1840;222;1159;354;327;1064;1863;292;367;1789;1509;1872
"GSV_rarefied_gsvtables72";2606;15835;458;1113;731;225;17005;199;714;1497;591;9401;2521;2707;695;723;373;186;254;2962;5110;2896;1034;1301;300;748;88;149;4123;553;2866;626;1132;2245;259;1344;441;444;1424;2114;342;511;2102;1702;2558
"GSV_rarefied_gsvtables73";2606;15835;458;1113;731;225;17005;199;714;1497;591;9401;2521;2707;695;723;373;186;254;2962;5110;2896;1034;1301;300;748;88;149;4123;553;2866;626;1132;2245;259;1344;441;444;1424;2114;342;511;2102;1702;2558
