"X","X0_SD7449_H041_pH7","X1_SD7450_H042_pH7","X2_SD7451_H043_pH7","X3_SD7452_H044_pH7","X4_SD7453_H045_pH7","X5_SD7454_H046_pH7","X6_SD7455_H048_pH7","X7_SD7456_H049_pH7","X8_SD7458_H051_pH7","X9_SD7460_H053_pH7","X10_SD7461_H054_pH7","X11_SD7462_H055_pH7","X12_SD7463_H056_pH7","X13_SD7464_H057_pH7","X14_SD7465_H058_pH7","X16_SD7467_H061_pH6.5","X17_SD7468_H062_pH6.5","X18_SD7469_H063_pH6.5","X19_SD7470_H065_pH6.5","X20_SD7471_H067_pH6.5","X21_SD7472_H068_pH6.5","X22_SD7473_H069_pH6.5","X23_SD7474_H070_pH6.5","X24_SD7475_H071_pH6.5","X25_SD7476_H072_pH6.5","X26_SD7477_H073_pH6.5","X27_SD7478_H074_pH6.5","X28_SD7479_H075_pH6.5","X29_SD7480_H076_pH6.5","X30_SD7481_H077_pH6.5","X31_SD7482_H078_pH6.5","X32_SD7483_H079_pH6.5","X33_SD7484_H080_pH6.5","X34_SD7485_H081_pH6","X36_SD7487_H085_pH6","X37_SD7488_H086_pH6","X38_SD7489_H087_pH6","X39_SD7490_H089_pH6","X40_SD7491_H090_pH6","X41_SD7492_H091_pH6","X42_SD7493_H092_pH6","X43_SD7494_H093_pH6","X44_SD7495_H094_pH6","X45_SD7496_H095_pH6","X46_SD7497_H096_pH6","X47_SD7498_H097_pH6","X48_SD7499_H098_pH6","X49_SD7500_H099_pH6","X50_SD7501_H100_pH6","X51_SD7502_H101_pH5.5","X52_SD7503_H102_pH5.5","X53_SD7504_H103_pH5.5","X54_SD7505_H104_pH5.5","X55_SD7506_H105_pH5.5","X56_SD7507_H106_pH5.5","X57_SD7508_H107_pH5.5","X58_SD7509_H109_pH5.5","X59_SD7510_H110_pH5.5","X60_SD7511_H111_pH5.5","X61_SD7512_H113_pH5.5","X62_SD7513_H114_pH5.5","X63_SD7514_H115_pH5.5","X64_SD7515_H116_pH5.5","X65_SD7516_H117_pH5.5","X66_SD7517_H119_pH5.5","X67_SD7518_H120_pH5.5","X68_SD7519_S121","X69_SD7520_S122","X70_SD7521_S123","X71_SD7522_S124","X72_SD7523_S125","X73_SD7524_S126","X74_SD7525_S127","X75_SD7526_S128","X76_SD7527_S129","X77_SD7528_S130","X78_SD7529_S131","X79_SD7530_S132","X80_SD7531_S133","X81_SD7532_S134","X82_SD7533_S135","X83_SD7534_S136","X84_SD7535_S137","X85_SD7536_S138","X86_SD7537_S139","X87_SD7538_S140","X88_SD7539_S141","X89_SD7540_S142","X90_SD7541_S143","X91_SD7542_S144","X93_SD7544_S146","X94_SD7545_S147","X95_SD7546_S148","X96_SD7547_S149","X97_SD7548_S150","X98_SD7549_S151","X99_SD7550_S152","X100_SD7551_S153","X101_SD7552_S154","X102_SD7553_S155","X103_SD7554_S156","X104_SD7555_S157","X105_SD7556_S158","X106_SD7557_S159","X107_SD7558_S160","X108_SD7559_S161","X109_SD7560_S162","X110_SD7561_S163","X111_SD7562_S164","X112_SD7563_S165","X113_SD7564_S166","X114_SD7565_S167","X115_SD7566_S168","X116_SD7567_S169","X117_SD7568_S170","X118_SD7569_S171","X119_SD7570_S172","X120_SD7571_S173","X121_SD7572_S174","X122_SD7573_S175"
"gtdb_r207_NR",1049.27,1753.43,1515.75,962.83,688.38,2149.17,1820.14,1623.86,2149.17,1573.62,1229.1,1063.09,537.89,1229.1,1229.1,1063.09,983.55,1820.14,912.23,2149.17,1382.11,1993.67,2610.2,1229.1,1063.09,1183.6,1183.6,2149.17,NA,3182.5,912.23,2149.17,1331.11,962.83,1229.1,2149.17,3065,1382.11,2070.67,1515.75,2515.2,1573.62,4033,1515.75,1573.62,3302.25,2515.2,962.83,2149.17,1000.08,1000.08,1183.6,1573.62,1229.1,912.23,1183.6,1666.14,1515.75,1496.38,912.23,912.23,1515.75,1104.09,1382.11,772.07,2610.2,1000.08,970.27,585.25,1382.11,1623.86,962.83,552.06,552.06,1264.33,591.59,1063.09,790,950.25,686.87,1080.6,772.07,1063.09,494.48,631.65,659.67,339.5,258.8,366.31,962.83,487.62,648.3,355.8,590.33,290,522.4,689.83,641.2,826.3,483.65,536.5,818.67,355.8,511.36,257.75,383.09,382.62,280,442.06,375.07,545.69,409.35,521.4,396.06,293,196.12,210.48,400.2,374.07,340.4
"gtdb_r207_amoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gtdb_r207_amoB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gtdb_r207_amoC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gtdb_r207_anfD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gtdb_r207_anfG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gtdb_r207_anfH",759.25,1647.5,1054.33,727,633.5,516.5,1579,606.43,759.25,858,1010,936.1,662,633.5,936.1,896.6,1647.5,1102.75,691.46,1278,896.6,727,1054.33,858,1202.38,1054.33,839.55,1393,NA,839.55,1054.33,1152,1647.5,883.3,1647.5,936.1,1202.38,1921.2,695.5,896.6,1382.5,1152,1579,2435,1152,1393,1202.38,1334.86,1921.2,858,757.55,478.44,1334.86,605.15,1010,1054.33,1007.62,702.27,804,1132,534,995.11,792,995.11,486.12,1102.75,841.67,594.62,643.3,605.15,634.75,503,576.77,541.4,438.06,420,580,395.06,781.5,550.08,1097.43,408.17,541,532,378,882,375.62,247.05,311.56,395,433.87,329.56,417.75,310.56,331.12,274.17,284.24,770.1,311.67,409.23,320.71,434.1,238,559.88,251.75,241.08,172.55,230.62,289.62,297.08,1656.2,302.77,370.07,355.46,498.67,137.04,186.31,301.57,266.23,299.08
"gtdb_r207_anfK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gtdb_r207_asnB",4273,4273,2634.09,1212,1212,1740.62,1825.4,1523,3619.5,1825.4,2317.33,6078.2,1089.22,2395.5,2920.6,2395.5,1971.43,2920.6,1485.33,1697.75,1825.4,2920.6,4273,4169.86,1825.4,4273,1585.24,4169.86,NA,6078.2,2337,2021,2193.77,2710.3,3191.67,2634.09,2779.5,3271,2395.5,2259.83,2634.09,2193.77,2634.09,2634.09,2920.6,3271,3271,1697.75,3113.33,1250.15,1871.4,1448.17,2485.27,1485.33,2140.08,4169.86,2634.09,1585.24,1971.43,1740.62,1033.96,4282.67,1655.44,1523,1625.35,1697.75,2779.5,1485.33,653,1780,1140.33,927.13,1014,1349.16,1545.65,1120.71,1009.12,1189.56,3191.67,2140.08,1448.17,1404.35,1315.8,1412.38,1073.25,961.12,754.92,547.56,1052.94,1235.67,564.04,510.71,740.55,543,636.91,512.62,499.28,750,839,819.22,457.9,756,490.92,542.2,513.48,423.5,428.12,532.25,500,806,1411.5,558.43,588.27,495.87,527.96,227.26,332,469.4,525.39,563.37
"gtdb_r207_gdhA",371.75,1136.2,670.14,394.5,182,438.09,555,394.5,1014,394.5,394.5,490.6,254.25,462,394.5,356.33,879,544,623.25,567.43,462.5,1291.25,739.86,464.09,492.67,555,492.67,480.8,NA,1136.2,388.55,357.77,490.6,635.75,462.5,1367.5,429.27,462.5,555,522.33,796.67,657.43,930,555,955.6,1014,438.09,879,523.33,552.88,300,243.4,635.75,317.08,592,417,552.88,443.6,476.12,464.09,181.65,880.2,523.33,299.4,330,472.11,317.4,319.71,326.91,305.1,265.5,152.33,290,357.77,407.43,176,264.27,292.09,498,462.5,244.31,358.1,414.11,216.06,143.62,237.87,159.08,162.33,172.88,210.71,192.25,205.8,200.12,111.56,174.88,155.77,163,357.1,153.56,148.62,144.2,104,116.65,131.57,94.33,140.25,91.06,171.55,172.88,120.81,250.33,179.36,181.5,178,114.25,69.53,76.62,126.36,137.25,156.5
